iter	Passed	Remaining
629	1305	766
630	1307	764
631	1308	762
632	1311	760
633	1313	758
634	1316	756
635	1318	754
636	1320	752
637	1321	750
638	1323	747
639	1325	745
640	1327	743
641	1330	741
642	1331	739
643	1333	737
644	1335	735
645	1337	733
646	1339	730
647	1341	728
648	1344	727
649	1346	725
650	1349	723
651	1351	721
652	1353	719
653	1355	716
654	1356	714
655	1359	712
656	1362	711
657	1364	709
658	1367	707
659	1369	705
660	1370	703
661	1372	700
662	1375	698
663	1377	697
664	1379	694
665	1383	693
666	1384	691
667	1386	688
668	1387	686
669	1390	684
670	1393	683
671	1395	681
672	1398	679
673	1400	677
674	1401	674
675	1403	672
676	1405	670
677	1407	668
678	1410	666
679	1412	664
680	1415	662
681	1416	660
682	1418	658
683	1419	656
684	1421	653
685	1425	652
686	1426	650
687	1429	648
688	1431	646
689	1433	643
690	1434	641
691	1436	639
692	1439	637
693	1441	635
694	1443	633
695	1446	631
696	1448	629
697	1450	627
698	1451	625
699	1453	622
700	1456	621
701	1458	619
702	1460	616
703	1463	615
704	1465	613
705	1466	610
706	1468	608
707	1470	606
708	1472	604
709	1474	602
710	1476	600
711	1479	598
712	1481	596
713	1483	594
714	1484	591
715	1487	589
716	1489	587
717	1491	585
718	1493	583
719	1495	581
720	1497	579
721	1499	577
722	1501	575
723	1503	572
724	1505	571
725	1507	569
726	1509	566
727	1512	565
728	1514	562
729	1515	560
730	1517	558
731	1520	556
732	1523	554
733	1526	553
734	1528	551
735	1530	548
736	1531	546
737	1534	544
738	1537	542
739	1539	540
740	1542	539
741	1544	536
742	1545	534
743	1547	532
744	1549	530
745	1551	528
746	1554	526
747	1555	524
748	1559	522
749	1561	520
750	1563	518
751	1564	516
752	1566	513
753	1569	512
754	1571	509
755	1573	507
756	1575	505
757	1577	503
758	1579	501
759	1580	499
760	1582	497
761	1585	495
762	1587	493
763	1589	491
764	1592	489
765	1594	486
766	1595	484
767	1597	482
768	1601	481
769	1603	478
770	1605	476
771	1607	474
772	1609	472
773	1611	470
774	1612	468
775	1614	466
776	1617	464
777	1619	462
778	1622	460
779	1624	458
780	1625	455
781	1627	453
782	1629	451
783	1631	449
784	1634	447
785	1635	445
786	1638	443
787	1640	441
788	1642	439
789	1643	436
790	1645	434
791	1648	432
792	1650	430
793	1652	428
794	1656	427
795	1658	424
796	1659	422
797	1661	420
798	1663	418
799	1666	416
800	1668	414
801	1671	412
802	1673	410
803	1674	408
804	1676	406
805	1678	403
806	1681	402
807	1683	400
808	1686	398
809	1688	396
810	1690	393
811	1691	391
812	1693	389
813	1695	387
814	1697	385
815	1699	383
816	1702	381
817	1704	379
818	1706	377
819	1707	374
820	1709	372
821	1712	370
822	1714	368
823	1717	366
824	1721	365
825	1722	362
826	1724	360
827	1726	358
828	1728	356
829	1730	354
830	1733	352
831	1735	350
832	1737	348
833	1739	346
834	1740	343
835	1742	341
836	1745	339
837	1748	337
838	1750	335
839	1753	333
840	1755	331
841	1756	329
842	1758	327
843	1761	325
844	1763	323
845	1765	321
846	1769	319
847	1770	317
848	1772	315
849	1774	313
850	1776	311
851	1779	309
852	1781	307
853	1784	305
854	1786	302
855	1787	300
856	1789	298
857	1791	296
858	1793	294
859	1795	292
860	1798	290
861	1800	288
862	1802	286
863	1803	283
864	1805	281
865	1807	279
866	1810	277
867	1812	275
868	1814	273
869	1816	271
870	1818	269
871	1819	267
872	1821	265
873	1823	262
874	1826	260
875	1828	258
876	1831	256
877	1833	254
878	1834	252
879	1836	250
880	1838	248
881	1840	246
882	1842	244
883	1844	242
884	1848	240
885	1850	238
886	1851	235
887	1853	233
888	1855	231
889	1858	229
890	1860	227
891	1862	225
892	1864	223
893	1866	221
894	1868	219
895	1870	217
896	1872	215
897	1875	213
898	1877	210
899	1879	208
900	1881	206
901	1883	204
902	1885	202
903	1886	200
904	1889	198
905	1891	196
906	1893	194
907	1895	192
908	1897	190
909	1899	187
910	1901	185
911	1902	183
912	1905	181
913	1908	179
914	1910	177
915	1911	175
916	1913	173
917	1916	171
918	1918	169
919	1920	166
920	1922	164
921	1924	162
922	1926	160
923	1928	158
924	1930	156
925	1932	154
926	1934	152
927	1936	150
928	1938	148
929	1940	146
930	1942	143
931	1945	141
932	1947	139
933	1949	137
934	1950	135
935	1953	133
936	1956	131
937	1958	129
938	1961	127
939	1962	125
940	1964	123
941	1965	121
942	1967	118
943	1971	116
944	1973	114
945	1976	112
946	1978	110
947	1979	108
948	1981	106
949	1983	104
950	1985	102
951	1988	100
952	1990	98
953	1993	96
954	1995	94
955	1996	91
956	1998	89
957	1999	87
958	2003	85
959	2005	83
960	2008	81
961	2010	79
962	2011	77
963	2013	75
964	2015	73
965	2017	70
966	2019	68
967	2021	66
968	2025	64
969	2027	62
970	2028	60
971	2030	58
972	2032	56
973	2034	54
974	2036	52
975	2039	50
976	2042	48
977	2043	45
978	2045	43
979	2047	41
980	2049	39
981	2052	37
982	2056	35
983	2058	33
984	2059	31
985	2061	29
986	2062	27
987	2064	25
988	2067	22
989	2069	20
990	2071	18
991	2074	16
992	2076	14
993	2077	12
994	2079	10
995	2082	8
996	2084	6
997	2086	4
998	2089	2
999	2090	0
